FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,log_reviews,log_business_ct,crime_ct,med_income,log_pop,log_crimes
513200,1504,51200,-0.838663,1500,4.446153846153846,0.26679409904249723,13,7.313220387090301,2.5649493574615367,21.0,34500,7.315883504509785,3.044522437723423
514100,1732,51100,-1.378032,894,4.171428571428572,0.20414989813700515,7,6.795705775173514,1.9459101490553132,53.0,27833,7.4570320891223805,3.970291913552122
514500,861,38500,-1.110505,53,4.55,0.3056090350877193,2,3.970291913552122,0.6931471805599453,24.0,20119,6.7580945044277305,3.1780538303479458
515200,1315,45000,-0.553436,806,4.2700000000000005,0.25951520947935725,10,6.692083742506628,2.302585092994046,30.0,30893,7.181591944611865,3.4011973816621555
515300,2708,63700,-1.106039,4985,4.3,0.32780558050861014,26,8.514188682395938,3.258096538021482,67.0,33640,7.903965634032166,4.204692619390966
516000,2235,56500,-1.207122,813,4.375,0.2715858984105092,16,6.70073110954781,2.772588722239781,50.0,50129,7.711996507047669,3.912023005428146
516600,2377,64100,-0.965866,5072,4.231578947368422,0.2782862255095436,19,8.531490496117062,2.9444389791664403,86.0,36985,7.773594467360194,4.454347296253507
516700,3218,85400,-1.096034,792,4.336363636363636,0.22691455967924015,11,6.674561391814426,2.3978952727983707,46.0,22083,8.076515327552329,3.828641396489095
517300,2131,204900,-1.305329,5721,4.389473684210526,0.3646881638729815,19,8.651898894268529,2.9444389791664403,86.0,36940,7.664346632098617,4.454347296253507
517500,2856,0,-0.892013,19143,3.926315789473684,0.2174251741237911,76,9.859692392536456,4.330733340286331,172.0,31776,7.957177323459475,5.147494476813453
518000,2280,144400,-0.594396,14698,4.426923076923076,0.3442464878781282,26,9.595466709088816,3.258096538021482,70.0,62697,7.731930721948486,4.248495242049359
518900,2121,0,-1.241453,34364,4.3830508474576275,0.3259778884375245,118,10.444764783757947,4.770684624465665,130.0,26786,7.659642954564682,4.867534450455582
520200,3650,114500,-0.667916,9701,4.044827586206896,0.2286506761665938,58,9.179984251961283,4.060443010546419,35.0,43798,8.202482446576537,3.5553480614894135
520300,2622,214100,-0.442925,38169,4.461363636363637,0.3654490854388559,88,10.549778946810811,4.477336814478207,48.0,78388,7.871692664323645,3.871201010907891
520400,1940,90000,-0.853299,6356,4.359259259259259,0.34785781952652317,27,8.757154527656606,3.295836866004329,31.0,35509,7.570443252057374,3.4339872044851463
521100,1544,55000,-0.862036,21369,4.272093023255814,0.27512720222607506,43,9.969696552646463,3.7612001156935624,30.0,39602,7.342131730584722,3.4011973816621555
521400,1403,138900,-0.714736,31927,4.478125,0.3465483748109883,64,10.371207325767013,4.1588830833596715,62.0,50707,7.246368080102461,4.127134385045092
521500,1354,36700,-0.844764,15486,4.160869565217391,0.26885312878475415,23,9.647691668946669,3.1354942159291497,64.0,44250,7.21081845347222,4.1588830833596715
521800,1466,0,-0.775197,48,3.4,0.11615625,1,3.871201010907891,0.0,19.0,55952,7.290292882446597,2.9444389791664403
521900,2943,121700,-0.6242,7035,4.340476190476191,0.29106120662751034,42,8.858652969548489,3.7376696182833684,95.0,86518,7.987184748233473,4.553876891600541
522000,1789,51900,-0.831418,1745,4.070588235294117,0.22391142554361332,17,7.4645098346365275,2.833213344056216,37.0,25986,7.489412083508719,3.6109179126442243
522300,1193,44700,-1.246503,1142,4.107142857142857,0.2122286499112586,14,7.040536390215956,2.6390573296152584,63.0,23482,7.084226422097916,4.143134726391533
523100,1336,44600,-1.012765,1843,4.2105263157894735,0.24016961199025397,19,7.519149957669823,2.9444389791664403,28.0,25833,7.197435354096591,3.332204510175204
523200,3247,64900,-0.686782,8932,4.172727272727272,0.23288974500873794,33,9.097395612960048,3.4965075614664802,34.0,42697,8.085486772102845,3.5263605246161616
523300,2914,54000,-0.891503,8065,4.365625,0.30016537948422445,32,8.99528899055931,3.4657359027997265,33.0,38951,7.97728198675515,3.4965075614664802
523800,3759,59600,-0.928601,3778,4.1952380952380945,0.2160150197226772,21,8.236950048061455,3.044522437723423,35.0,53359,8.231908243564177,3.5553480614894135
524200,4366,67000,-1.038219,6382,4.3808510638297875,0.25824382845663474,47,8.76123680683819,3.8501476017100584,27.0,27130,8.38160253710989,3.295836866004329
524300,2626,57900,-0.99083,1869,4.4125,0.2744991567743125,16,7.533158807455563,2.772588722239781,33.0,41504,7.873217054862741,3.4965075614664802
524700,3768,67500,-0.6942,2403,4.366666666666666,0.3067805742814688,24,7.784473235736469,3.1780538303479458,67.0,41955,8.234299635696253,4.204692619390966
525400,1795,48000,-0.96577,724,4.308333333333334,0.23537489971955394,12,6.584791392385716,2.4849066497880004,35.0,29875,7.492760300922379,3.5553480614894135
525700,4403,48900,-0.71755,4006,4.3517241379310345,0.24845164974495307,29,8.295548516225763,3.367295829986474,31.0,43255,8.390041405755754,3.4339872044851463
525800,1781,48200,-0.967444,8518,4.110344827586207,0.20685941187739723,29,9.049936850483158,3.367295829986474,36.0,38438,7.484930283289661,3.58351893845611
526000,3043,54900,-1.118431,2947,4.328125,0.2675468781008541,32,7.988542982737695,3.4657359027997265,25.0,30603,8.02059914989697,3.2188758248682006
526100,2753,69600,-0.885702,624,3.8600000000000003,0.15665302630735195,5,6.436150368369428,1.6094379124341003,19.0,22292,7.920446505142607,2.9444389791664403
526200,3026,53900,-1.135323,1910,4.2375,0.2122204212590174,8,7.554858521040676,2.0794415416798357,13.0,40431,8.014996894348302,2.5649493574615367
526300,3345,50000,-1.001476,1018,4.3533333333333335,0.22676685858819312,15,6.925595197110468,2.70805020110221,21.0,38448,8.11522197256233,3.044522437723423
530200,3546,85000,-0.569479,4188,4.092307692307693,0.23322394111503802,13,8.339978571990427,2.5649493574615367,53.0,36667,8.173575486634153,3.970291913552122
530400,1283,63000,-0.856336,2816,3.685714285714286,0.1626168070187377,7,7.943072717277933,1.9459101490553132,41.0,17013,7.1569563646156364,3.713572066704308
530500,2253,94100,-0.836419,946,4.2625,0.2995557572565509,8,6.852242569051878,2.0794415416798357,34.0,37750,7.720017940432244,3.5263605246161616
531300,1153,58600,-1.030154,242,4.14,0.31262333972922496,5,5.488937726156687,1.6094379124341003,36.0,23205,7.050122520269059,3.58351893845611
531400,1518,62000,-1.173511,899,4.383333333333334,0.3534577702806693,6,6.80128303447162,1.791759469228055,42.0,34915,7.325148957955575,3.7376696182833684
